year,northern_extratropics_anomaly_c,tropics_anomaly_c,southern_extratropics_anomaly_c
1882,-0.398,-0.090,-0.046
1883,-0.450,-0.092,-0.096
1884,-0.492,-0.152,-0.124
1885,-0.534,-0.202,-0.182
1886,-0.550,-0.148,-0.238
1887,-0.488,-0.104,-0.242
1888,-0.448,-0.150,-0.232
1889,-0.418,-0.126,-0.232
1890,-0.398,-0.126,-0.192
1891,-0.414,-0.220,-0.142
1892,-0.420,-0.302,-0.156
1893,-0.408,-0.244,-0.162
1894,-0.394,-0.210,-0.150
1895,-0.380,-0.118,-0.180
1896,-0.350,-0.090,-0.224
1897,-0.332,-0.046,-0.214
1898,-0.294,0.002,-0.224
1899,-0.256,-0.024,-0.254
1900,-0.292,-0.064,-0.276
1901,-0.312,-0.076,-0.300
1902,-0.368,-0.146,-0.352
1903,-0.406,-0.196,-0.362
1904,-0.424,-0.228,-0.348
1905,-0.434,-0.282,-0.338
1906,-0.438,-0.314,-0.334
1907,-0.440,-0.318,-0.334
1908,-0.444,-0.400,-0.340
1909,-0.478,-0.448,-0.390
1910,-0.480,-0.428,-0.404
1911,-0.472,-0.396,-0.402
1912,-0.416,-0.316,-0.348
1913,-0.378,-0.222,-0.316
1914,-0.368,-0.226,-0.266
1915,-0.348,-0.312,-0.232
1916,-0.342,-0.324,-0.190
1917,-0.378,-0.348,-0.200
1918,-0.382,-0.396,-0.220
1919,-0.306,-0.356,-0.236
1920,-0.254,-0.294,-0.252
1921,-0.202,-0.284,-0.292
1922,-0.142,-0.294,-0.334
1923,-0.100,-0.288,-0.344
1924,-0.098,-0.234,-0.362
1925,-0.076,-0.200,-0.384
1926,-0.062,-0.170,-0.394
1927,-0.112,-0.174,-0.398
1928,-0.098,-0.148,-0.408
1929,-0.102,-0.134,-0.412
1930,-0.072,-0.134,-0.404
1931,-0.106,-0.160,-0.394
1932,0.004,-0.154,-0.356
1933,-0.014,-0.168,-0.346
1934,-0.020,-0.210,-0.322
1935,0.014,-0.188,-0.298
1936,0.140,-0.176,-0.248
1937,0.148,-0.150,-0.220
1938,0.180,-0.060,-0.160
1939,0.186,0.062,-0.110
1940,0.172,0.088,-0.068
1941,0.168,0.116,-0.042
1942,0.200,0.178,-0.008
1943,0.202,0.160,0.000
1944,0.212,0.056,-0.038
1945,0.218,0.030,-0.068
1946,0.170,0.012,-0.124
1947,0.116,-0.062,-0.180
1948,0.082,-0.154,-0.202
1949,0.086,-0.156,-0.200
1950,0.076,-0.140,-0.186
1951,0.122,-0.090,-0.174
1952,0.114,-0.094,-0.172
1953,0.134,-0.104,-0.156
1954,0.078,-0.158,-0.110
1955,0.062,-0.146,-0.088
1956,0.006,-0.118,-0.084
1957,0.024,-0.060,-0.072
1958,0.032,0.012,-0.100
1959,0.110,0.072,-0.090
1960,0.152,0.046,-0.108
1961,0.164,0.028,-0.100
1962,0.086,-0.016,-0.116
1963,0.030,-0.026,-0.102
1964,-0.036,-0.004,-0.142
1965,-0.060,-0.022,-0.130
1966,-0.110,-0.058,-0.122
1967,-0.122,0.036,-0.070
1968,-0.106,0.056,-0.020
1969,-0.090,-0.012,0.036
1970,-0.182,0.050,0.068
1971,-0.140,0.100,0.120
1972,-0.110,-0.006,0.152
1973,-0.064,-0.068,0.160
1974,-0.104,-0.040,0.152
1975,-0.010,-0.044,0.172
1976,-0.036,-0.068,0.168
1977,-0.014,0.024,0.178
1978,-0.026,0.132,0.224
1979,0.122,0.192,0.278
1980,0.080,0.216,0.264
1981,0.130,0.288,0.282
1982,0.138,0.272,0.288
1983,0.120,0.230,0.272
1984,0.044,0.238,0.240
1985,0.068,0.300,0.254
1986,0.104,0.288,0.284
1987,0.182,0.276,0.300
1988,0.314,0.332,0.312
1989,0.388,0.360,0.352
1990,0.398,0.300,0.356
1991,0.344,0.290,0.320
1992,0.350,0.328,0.294
1993,0.364,0.338,0.264
1994,0.316,0.328,0.276
1995,0.404,0.374,0.290
1996,0.534,0.448,0.310
1997,0.588,0.426,0.328
1998,0.588,0.390,0.342
1999,0.702,0.412,0.334
2000,0.760,0.428,0.362
2001,0.772,0.418,0.370
2002,0.776,0.488,0.374
2003,0.838,0.564,0.400
2004,0.876,0.590,0.396
2005,0.936,0.564,0.396
2006,0.950,0.510,0.404
2007,0.962,0.534,0.442
2008,0.966,0.546,0.454
2009,0.964,0.508,0.486
2010,0.946,0.520,0.476
2011,0.952,0.562,0.504
2012,1.012,0.562,0.508
2013,1.068,0.616,0.492
2014,1.180,0.744,0.478
2015,1.250,0.800,0.512
2016,1.312,0.818,0.542
2017,1.380,0.862,0.564
2018,1.450,0.840,0.598
2019,1.428,0.770,0.606
2020,1.456,0.722,0.626
2021,1.560,0.800,0.630
2022,1.666,0.860,0.652
2023,1.716,0.862,0.722
