observation_id,species,body_mass_g
1,Adelie,3750
2,Adelie,3800
3,Adelie,3250
5,Adelie,3450
6,Adelie,3650
7,Adelie,3625
8,Adelie,4675
9,Adelie,3475
10,Adelie,4250
11,Adelie,3300
12,Adelie,3700
13,Adelie,3200
14,Adelie,3800
15,Adelie,4400
16,Adelie,3700
17,Adelie,3450
18,Adelie,4500
19,Adelie,3325
20,Adelie,4200
21,Adelie,3400
22,Adelie,3600
23,Adelie,3800
24,Adelie,3950
25,Adelie,3800
26,Adelie,3800
27,Adelie,3550
28,Adelie,3200
29,Adelie,3150
30,Adelie,3950
31,Adelie,3250
32,Adelie,3900
33,Adelie,3300
34,Adelie,3900
35,Adelie,3325
36,Adelie,4150
37,Adelie,3950
38,Adelie,3550
39,Adelie,3300
40,Adelie,4650
41,Adelie,3150
42,Adelie,3900
43,Adelie,3100
44,Adelie,4400
45,Adelie,3000
46,Adelie,4600
47,Adelie,3425
48,Adelie,2975
49,Adelie,3450
50,Adelie,4150
51,Adelie,3500
52,Adelie,4300
53,Adelie,3450
54,Adelie,4050
55,Adelie,2900
56,Adelie,3700
57,Adelie,3550
58,Adelie,3800
59,Adelie,2850
60,Adelie,3750
61,Adelie,3150
62,Adelie,4400
63,Adelie,3600
64,Adelie,4050
65,Adelie,2850
66,Adelie,3950
67,Adelie,3350
68,Adelie,4100
69,Adelie,3050
70,Adelie,4450
71,Adelie,3600
72,Adelie,3900
73,Adelie,3550
74,Adelie,4150
75,Adelie,3700
76,Adelie,4250
77,Adelie,3700
78,Adelie,3900
79,Adelie,3550
80,Adelie,4000
81,Adelie,3200
82,Adelie,4700
83,Adelie,3800
84,Adelie,4200
85,Adelie,3350
86,Adelie,3550
87,Adelie,3800
88,Adelie,3500
89,Adelie,3950
90,Adelie,3600
91,Adelie,3550
92,Adelie,4300
93,Adelie,3400
94,Adelie,4450
95,Adelie,3300
96,Adelie,4300
97,Adelie,3700
98,Adelie,4350
99,Adelie,2900
100,Adelie,4100
101,Adelie,3725
102,Adelie,4725
103,Adelie,3075
104,Adelie,4250
105,Adelie,2925
106,Adelie,3550
107,Adelie,3750
108,Adelie,3900
109,Adelie,3175
110,Adelie,4775
111,Adelie,3825
112,Adelie,4600
113,Adelie,3200
114,Adelie,4275
115,Adelie,3900
116,Adelie,4075
117,Adelie,2900
118,Adelie,3775
119,Adelie,3350
120,Adelie,3325
121,Adelie,3150
122,Adelie,3500
123,Adelie,3450
124,Adelie,3875
125,Adelie,3050
126,Adelie,4000
127,Adelie,3275
128,Adelie,4300
129,Adelie,3050
130,Adelie,4000
131,Adelie,3325
132,Adelie,3500
133,Adelie,3500
134,Adelie,4475
135,Adelie,3425
136,Adelie,3900
137,Adelie,3175
138,Adelie,3975
139,Adelie,3400
140,Adelie,4250
141,Adelie,3400
142,Adelie,3475
143,Adelie,3050
144,Adelie,3725
145,Adelie,3000
146,Adelie,3650
147,Adelie,4250
148,Adelie,3475
149,Adelie,3450
150,Adelie,3750
151,Adelie,3700
152,Adelie,4000
153,Gentoo,4500
154,Gentoo,5700
155,Gentoo,4450
156,Gentoo,5700
157,Gentoo,5400
158,Gentoo,4550
159,Gentoo,4800
160,Gentoo,5200
161,Gentoo,4400
162,Gentoo,5150
163,Gentoo,4650
164,Gentoo,5550
165,Gentoo,4650
166,Gentoo,5850
167,Gentoo,4200
168,Gentoo,5850
169,Gentoo,4150
170,Gentoo,6300
171,Gentoo,4800
172,Gentoo,5350
173,Gentoo,5700
174,Gentoo,5000
175,Gentoo,4400
176,Gentoo,5050
177,Gentoo,5000
178,Gentoo,5100
179,Gentoo,4100
180,Gentoo,5650
181,Gentoo,4600
182,Gentoo,5550
183,Gentoo,5250
184,Gentoo,4700
185,Gentoo,5050
186,Gentoo,6050
187,Gentoo,5150
188,Gentoo,5400
189,Gentoo,4950
190,Gentoo,5250
191,Gentoo,4350
192,Gentoo,5350
193,Gentoo,3950
194,Gentoo,5700
195,Gentoo,4300
196,Gentoo,4750
197,Gentoo,5550
198,Gentoo,4900
199,Gentoo,4200
200,Gentoo,5400
201,Gentoo,5100
202,Gentoo,5300
203,Gentoo,4850
204,Gentoo,5300
205,Gentoo,4400
206,Gentoo,5000
207,Gentoo,4900
208,Gentoo,5050
209,Gentoo,4300
210,Gentoo,5000
211,Gentoo,4450
212,Gentoo,5550
213,Gentoo,4200
214,Gentoo,5300
215,Gentoo,4400
216,Gentoo,5650
217,Gentoo,4700
218,Gentoo,5700
219,Gentoo,4650
220,Gentoo,5800
221,Gentoo,4700
222,Gentoo,5550
223,Gentoo,4750
224,Gentoo,5000
225,Gentoo,5100
226,Gentoo,5200
227,Gentoo,4700
228,Gentoo,5800
229,Gentoo,4600
230,Gentoo,6000
231,Gentoo,4750
232,Gentoo,5950
233,Gentoo,4625
234,Gentoo,5450
235,Gentoo,4725
236,Gentoo,5350
237,Gentoo,4750
238,Gentoo,5600
239,Gentoo,4600
240,Gentoo,5300
241,Gentoo,4875
242,Gentoo,5550
243,Gentoo,4950
244,Gentoo,5400
245,Gentoo,4750
246,Gentoo,5650
247,Gentoo,4850
248,Gentoo,5200
249,Gentoo,4925
250,Gentoo,4875
251,Gentoo,4625
252,Gentoo,5250
253,Gentoo,4850
254,Gentoo,5600
255,Gentoo,4975
256,Gentoo,5500
257,Gentoo,4725
258,Gentoo,5500
259,Gentoo,4700
260,Gentoo,5500
261,Gentoo,4575
262,Gentoo,5500
263,Gentoo,5000
264,Gentoo,5950
265,Gentoo,4650
266,Gentoo,5500
267,Gentoo,4375
268,Gentoo,5850
269,Gentoo,4875
270,Gentoo,6000
271,Gentoo,4925
273,Gentoo,4850
274,Gentoo,5750
275,Gentoo,5200
276,Gentoo,5400
277,Chinstrap,3500
278,Chinstrap,3900
279,Chinstrap,3650
280,Chinstrap,3525
281,Chinstrap,3725
282,Chinstrap,3950
283,Chinstrap,3250
284,Chinstrap,3750
285,Chinstrap,4150
286,Chinstrap,3700
287,Chinstrap,3800
288,Chinstrap,3775
289,Chinstrap,3700
290,Chinstrap,4050
291,Chinstrap,3575
292,Chinstrap,4050
293,Chinstrap,3300
294,Chinstrap,3700
295,Chinstrap,3450
296,Chinstrap,4400
297,Chinstrap,3600
298,Chinstrap,3400
299,Chinstrap,2900
300,Chinstrap,3800
301,Chinstrap,3300
302,Chinstrap,4150
303,Chinstrap,3400
304,Chinstrap,3800
305,Chinstrap,3700
306,Chinstrap,4550
307,Chinstrap,3200
308,Chinstrap,4300
309,Chinstrap,3350
310,Chinstrap,4100
311,Chinstrap,3600
312,Chinstrap,3900
313,Chinstrap,3850
314,Chinstrap,4800
315,Chinstrap,2700
316,Chinstrap,4500
317,Chinstrap,3950
318,Chinstrap,3650
319,Chinstrap,3550
320,Chinstrap,3500
321,Chinstrap,3675
322,Chinstrap,4450
323,Chinstrap,3400
324,Chinstrap,4300
325,Chinstrap,3250
326,Chinstrap,3675
327,Chinstrap,3325
328,Chinstrap,3950
329,Chinstrap,3600
330,Chinstrap,4050
331,Chinstrap,3350
332,Chinstrap,3450
333,Chinstrap,3250
334,Chinstrap,4050
335,Chinstrap,3800
336,Chinstrap,3525
337,Chinstrap,3950
338,Chinstrap,3650
339,Chinstrap,3650
340,Chinstrap,4000
341,Chinstrap,3400
342,Chinstrap,3775
343,Chinstrap,4100
344,Chinstrap,3775
