observation_id,mpg,weight_lb,origin
1,18.0,3504.,USA
2,15.0,3693.,USA
3,18.0,3436.,USA
4,16.0,3433.,USA
5,17.0,3449.,USA
6,15.0,4341.,USA
7,14.0,4354.,USA
8,14.0,4312.,USA
9,14.0,4425.,USA
10,15.0,3850.,USA
11,15.0,3563.,USA
12,14.0,3609.,USA
13,15.0,3761.,USA
14,14.0,3086.,USA
15,24.0,2372.,Japan
16,22.0,2833.,USA
17,18.0,2774.,USA
18,21.0,2587.,USA
19,27.0,2130.,Japan
20,26.0,1835.,Europe
21,25.0,2672.,Europe
22,24.0,2430.,Europe
23,25.0,2375.,Europe
24,26.0,2234.,Europe
25,21.0,2648.,USA
26,10.0,4615.,USA
27,10.0,4376.,USA
28,11.0,4382.,USA
29,9.0,4732.,USA
30,27.0,2130.,Japan
31,28.0,2264.,USA
32,25.0,2228.,Japan
33,25.0,2046.,USA
34,19.0,2634.,USA
35,16.0,3439.,USA
36,17.0,3329.,USA
37,19.0,3302.,USA
38,18.0,3288.,USA
39,14.0,4209.,USA
40,14.0,4464.,USA
41,14.0,4154.,USA
42,14.0,4096.,USA
43,12.0,4955.,USA
44,13.0,4746.,USA
45,13.0,5140.,USA
46,18.0,2962.,USA
47,22.0,2408.,USA
48,19.0,3282.,USA
49,18.0,3139.,USA
50,23.0,2220.,USA
51,28.0,2123.,Europe
52,30.0,2074.,Europe
53,30.0,2065.,Europe
54,31.0,1773.,Japan
55,35.0,1613.,Japan
56,27.0,1834.,Europe
57,26.0,1955.,USA
58,24.0,2278.,Japan
59,25.0,2126.,USA
60,23.0,2254.,Europe
61,20.0,2408.,USA
62,21.0,2226.,USA
63,13.0,4274.,USA
64,14.0,4385.,USA
65,15.0,4135.,USA
66,14.0,4129.,USA
67,17.0,3672.,USA
68,11.0,4633.,USA
69,13.0,4502.,USA
70,12.0,4456.,USA
71,13.0,4422.,USA
72,19.0,2330.,Japan
73,15.0,3892.,USA
74,13.0,4098.,USA
75,13.0,4294.,USA
76,14.0,4077.,USA
77,18.0,2933.,Europe
78,22.0,2511.,Europe
79,21.0,2979.,Europe
80,26.0,2189.,Europe
81,22.0,2395.,USA
82,28.0,2288.,Japan
83,23.0,2506.,Japan
84,28.0,2164.,USA
85,27.0,2100.,Japan
86,13.0,4100.,USA
87,14.0,3672.,USA
88,13.0,3988.,USA
89,14.0,4042.,USA
90,15.0,3777.,USA
91,12.0,4952.,USA
92,13.0,4464.,USA
93,13.0,4363.,USA
94,14.0,4237.,USA
95,13.0,4735.,USA
96,12.0,4951.,USA
97,13.0,3821.,USA
98,18.0,3121.,USA
